state,name,election_date,ev_start_2026,ev_end_2026,has_party_reg,dims_available,ev_2022_total,ev_2024_total,turnout_2022_total,turnout_2024_total,reg_voters_2026,notes
AK,Alaska,2026-11-03,,,true,method,,,,,,"statewide only; published by ballot type, not by borough"
AL,Alabama,2026-11-03,,,false,,,,,,,not tracked in 2026
AR,Arkansas,2026-11-03,,,false,,,,,,,not tracked in 2026
AZ,Arizona,2026-11-03,,,true,county,,,,,,registers by party; the SoS Sent/Accepted table publishes neither the party split nor a mail/in-person split -- county totals only
CA,California,2026-11-03,,,true,county|method,,,,,,"registers by party, but the state workbook does not break it out"
CO,Colorado,2026-11-03,,,true,county|party|method,,,,,,
CT,Connecticut,2026-11-03,,,true,,,,,,,not tracked in 2026
DC,District of Columbia,2026-11-03,,,true,,,,,,,not tracked in 2026
DE,Delaware,2026-11-03,,,true,,,,,,,not tracked in 2026
FL,Florida,2026-11-03,,,true,county|party|method,,,,,,
GA,Georgia,2026-11-03,,,false,county|method|age|race|sex,,,,,,
HI,Hawaii,2026-11-03,,,false,,,,,,,not tracked in 2026
IA,Iowa,2026-11-03,,,true,county|party|method,,,,,,
ID,Idaho,2026-11-03,,,true,,,,,,,not tracked in 2026
IL,Illinois,2026-11-03,,,false,county|method,,,,,,
IN,Indiana,2026-11-03,,,false,,,,,,,not tracked in 2026
KS,Kansas,2026-11-03,,,true,,,,,,,not tracked in 2026
KY,Kentucky,2026-11-03,,,true,county|party|method,,,,,,
LA,Louisiana,2026-11-03,,,true,,,,,,,not tracked in 2026
MA,Massachusetts,2026-11-03,,,true,,,,,,,not tracked in 2026
MD,Maryland,2026-11-03,,,true,county|party|sex,,,,,,
ME,Maine,2026-11-03,,,true,town|county|party|method,,,,,,reports by municipality; counties summed from towns
MI,Michigan,2026-11-03,,,false,county|method,,,,,,
MN,Minnesota,2026-11-03,,,false,county|method,,,,,,
MO,Missouri,2026-11-03,,,true,,,,,,,not tracked in 2026
MS,Mississippi,2026-11-03,,,false,,,,,,,not tracked in 2026
MT,Montana,2026-11-03,,,false,,,,,,,not tracked in 2026
NC,North Carolina,2026-11-03,,,true,county|party|method|age|race|sex,,,,,,
ND,North Dakota,2026-11-03,,,false,county|method,,,,,,
NE,Nebraska,2026-11-03,,,true,,,,,,,not tracked in 2026
NH,New Hampshire,2026-11-03,,,true,method,,,,,,publishes no machine-readable absentee data
NJ,New Jersey,2026-11-03,,,true,,,,,,,not tracked in 2026
NM,New Mexico,2026-11-03,,,true,,,,,,,not tracked in 2026
NV,Nevada,2026-11-03,,,true,county|party|method,,,,,,
NY,New York,2026-11-03,,,true,county|method,,,,,,New York City only (5 of 62 counties) -- never a state total
OH,Ohio,2026-11-03,,,false,county|method,,,,,,
OK,Oklahoma,2026-11-03,,,true,,,,,,,not tracked in 2026
OR,Oregon,2026-11-03,,,true,,,,,,,not tracked in 2026
PA,Pennsylvania,2026-11-03,,,true,county|party|method,,,,,,
RI,Rhode Island,2026-11-03,,,true,,,,,,,not tracked in 2026
SC,South Carolina,2026-11-03,,,false,county|method,,,,,,
SD,South Dakota,2026-11-03,,,true,party|method,,,,,,
TN,Tennessee,2026-11-03,,,false,county|method,,,,,,
TX,Texas,2026-11-03,,,false,county|method,,,,,,largest counties only (~30 of 254) -- never a statewide total
UT,Utah,2026-11-03,,,true,,,,,,,not tracked in 2026
VA,Virginia,2026-11-03,,,false,county|method,,,,,,
VT,Vermont,2026-11-03,,,false,,,,,,,not tracked in 2026
WA,Washington,2026-11-03,,,false,county|method|sex,,,,,,"registers by party, but the state file's party column is empty"
WI,Wisconsin,2026-11-03,,,false,county|method,,,,,,
WV,West Virginia,2026-11-03,,,true,,,,,,,not tracked in 2026
WY,Wyoming,2026-11-03,,,true,,,,,,,not tracked in 2026
