cycle,state,date,days_to_election,reference_cycle,reference_date,reference_days_to_election,implied_margin_2024,actual_margin_2024,shift_pp,shift_lo,shift_hi,composition_margin,reference_composition_margin,dims_used,dims_reported,counties_used,counties_total,county_coverage,reference_counties_used,reference_county_coverage,ballots,reference_ballots,completeness,reference_completeness,party_margin_shift_pp,party_coverage,reference_party_coverage,age_shift_tv,race_shift_tv,sex_shift_tv,demo_coverage,behaviour_cycle,confidence,method,source_name,retrieved_at
2024,CO,2024-10-28,8,2022,2022-10-31,8,11.5483,11.2931,0.2552,-10.2448,10.7552,9.8451,9.5899,county,county;party,64,64,1.0000,64,1.0000,1271157,742935,0.7538,0.4406,-2.2285,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,CO,2024-10-29,7,2022,2022-11-01,7,11.3419,11.2931,0.0488,-10.4512,10.5488,10.0934,10.0446,county,county;party,64,64,1.0000,64,1.0000,1436325,862637,0.8518,0.5116,-2.3494,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,CO,2024-10-30,6,2022,2022-11-02,6,11.4665,11.2931,0.1734,-10.3266,10.6734,10.1475,9.9741,county,county;party,64,64,1.0000,64,1.0000,1592308,981210,0.9443,0.5819,-2.0092,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,CO,2024-10-31,5,2022,2022-11-03,5,11.4073,11.2931,0.1142,-10.3858,10.6142,10.2376,10.1234,county,county;party,64,64,1.0000,64,1.0000,1731171,1099847,1.0266,0.6522,-1.9829,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,FL,2024-10-23,13,2022,2022-10-25,14,-14.0768,-13.2221,-0.8547,-11.3547,9.6453,-13.9523,-13.0976,county,county;party,67,67,1.0000,67,1.0000,2251158,1401072,0.4700,0.2925,-8.7854,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,FL,2024-10-28,8,2022,2022-10-31,8,-13.9605,-13.2221,-0.7384,-11.2384,9.7616,-13.8198,-13.0814,county,county;party,67,67,1.0000,67,1.0000,4599039,2774204,0.9601,0.5792,-9.5410,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,FL,2024-10-29,7,2022,2022-11-01,7,-13.7003,-13.2221,-0.4782,-10.9782,10.0218,-13.8801,-13.4019,county,county;party,67,67,1.0000,67,1.0000,5141915,3025793,1.0735,0.6317,-9.0553,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,FL,2024-10-31,5,2022,2022-11-03,5,-13.3335,-13.2221,-0.1114,-10.6114,10.3886,-13.7508,-13.6394,county,county;party,67,67,1.0000,67,1.0000,6225974,3581580,1.2998,0.7477,-7.5347,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,FL,2024-11-01,4,2022,2022-11-04,4,-13.2287,-13.2221,-0.0066,-10.5066,10.4934,-13.6485,-13.6419,county,county;party,67,67,1.0000,67,1.0000,6731960,3887262,1.4054,0.8115,-6.7655,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,FL,2024-11-03,2,2022,2022-11-06,2,-13.1683,-13.2221,0.0539,-10.4461,10.5539,-13.5615,-13.6154,county,county;party,67,67,1.0000,67,1.0000,7833099,4558818,1.6353,0.9517,-5.3764,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,FL,2024-11-04,1,2022,2022-11-07,1,-13.2099,-13.2221,0.0122,-10.4878,10.5122,-12.9998,-13.0120,county,county;party,67,67,1.0000,67,1.0000,8189384,4789974,1.7097,1.0000,-5.2105,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,FL,2024-11-05,0,2022,2022-11-07,1,-13.1775,-13.2221,0.0447,-10.4553,10.5447,-12.9673,-13.0120,county,county;party,67,67,1.0000,67,1.0000,8289955,4789974,1.7307,1.0000,-4.9375,1.0000,1.0000,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,KY,2024-10-29,7,2022,2022-11-04,4,-30.5007,-31.0281,0.5275,-9.9725,11.0275,-31.7287,-32.2562,county,county;party,120,120,1.0000,120,1.0000,105265,337975,0.3115,1.0000,0.4191,0.9109,0.9424,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,KY,2024-10-30,6,2022,2022-11-04,4,-30.7117,-31.0281,0.3164,-10.1836,10.8164,-31.9398,-32.2562,county,county;party,120,120,1.0000,120,1.0000,115665,337975,0.3422,1.0000,-0.5106,0.9105,0.9424,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,KY,2024-10-31,5,2022,2022-11-04,4,-30.8636,-31.0281,0.1646,-10.3354,10.6646,-32.0916,-32.2562,county,county;party,120,120,1.0000,120,1.0000,125052,337975,0.3700,1.0000,-1.0121,0.9110,0.9424,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,KY,2024-11-01,4,2022,2022-11-04,4,-30.4164,-31.0281,0.6118,-9.8882,11.1118,-31.6445,-32.2562,county,county;party,120,120,1.0000,120,1.0000,355909,337975,1.0531,1.0000,-11.3584,0.9254,0.9424,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,KY,2024-11-02,3,2022,2022-11-04,4,-29.8767,-31.0281,1.1514,-9.3486,11.6514,-31.1048,-32.2562,county,county;party,120,120,1.0000,120,1.0000,590442,337975,1.7470,1.0000,-12.7171,0.9270,0.9424,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,KY,2024-11-03,2,2022,2022-11-04,4,-29.5973,-31.0281,1.4308,-9.0692,11.9308,-30.8254,-32.2562,county,county;party,120,120,1.0000,120,1.0000,792476,337975,2.3448,1.0000,-13.2237,0.9257,0.9424,,,,,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
2024,MD,2024-10-26,10,2022,2022-10-29,10,31.7011,29.5095,2.1916,-8.3084,12.6916,26.9824,24.7908,county,county;party;sex,24,24,1.0000,24,1.0000,367370,115595,0.9618,0.3026,-5.2752,1.0000,1.0000,,,1.2777,1.0000,2024,medium,pres2024-county-composition-diff,electindex-counterfactual/pres2024-county-returns,2026-09-07T21:23:23+00:00
