cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2022,CO,08001,Adams County,2022-10-24,15,10855,,,13,4186,2718,117,3834,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-10-25,14,17195,,,38,6626,4320,199,6050,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-10-26,13,22872,,,70,8835,5730,274,8033,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-10-27,12,27926,,,94,10791,7031,355,9749,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-10-30,9,31747,,,139,12189,8000,398,11160,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-10-31,8,45176,,,192,17150,11155,547,16324,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-11-01,7,53581,,,247,20104,13332,636,19509,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-11-02,6,60331,,,306,22456,15073,714,22088,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-11-03,5,67937,,,387,25097,16983,799,25058,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-11-06,2,81478,,,836,29685,20388,970,30435,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08001,Adams County,2022-11-07,1,105901,,,1618,37551,26244,1332,40774,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-10-24,15,224,,,0,78,89,0,57,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-10-25,14,698,,,0,271,220,4,203,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-10-26,13,787,,,0,300,250,5,232,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-10-27,12,1059,,,0,396,343,6,314,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-10-30,9,1482,,,0,559,478,8,437,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-10-31,8,1810,,,0,676,584,10,540,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-11-01,7,2137,,,0,789,685,12,651,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-11-02,6,2379,,,0,873,768,13,725,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-11-03,5,2700,,,0,979,878,17,826,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-11-06,2,3323,,,0,1179,1074,24,1046,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08003,Alamosa County,2022-11-07,1,4094,,,0,1412,1323,36,1323,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-10-24,15,19920,,,53,7410,5381,211,6918,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-10-25,14,29331,,,117,10734,7993,297,10307,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-10-26,13,37616,,,172,13743,10256,368,13249,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-10-27,12,45739,,,237,16618,12494,435,16192,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-10-30,9,52050,,,349,18881,14263,491,18415,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-10-31,8,75236,,,509,27356,20117,703,27060,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-11-01,7,87643,,,684,31733,23386,833,31691,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-11-02,6,99320,,,869,35782,26524,979,36035,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-11-03,5,110400,,,1086,39555,29529,1107,40209,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-11-06,2,132280,,,1963,46743,35445,1344,48748,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08005,Arapahoe County,2022-11-07,1,171291,,,3337,59965,44512,1818,64996,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-10-24,15,468,,,5,140,176,1,151,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-10-25,14,751,,,6,216,281,2,252,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-10-26,13,1123,,,12,288,450,8,377,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-10-27,12,1464,,,12,356,590,10,508,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-10-30,9,1993,,,14,467,809,15,702,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-10-31,8,2640,,,18,583,1072,21,964,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-11-01,7,3172,,,29,703,1280,24,1165,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-11-02,6,3605,,,30,777,1438,27,1363,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-11-03,5,4035,,,34,860,1612,33,1530,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-11-06,2,4600,,,46,962,1853,35,1750,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08007,Archuleta County,2022-11-07,1,5849,,,75,1183,2351,46,2269,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-10-24,15,182,,,5,35,103,2,42,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-10-25,14,224,,,6,46,123,3,52,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-10-26,13,287,,,8,56,165,3,63,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-10-27,12,360,,,9,71,203,3,83,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-10-30,9,440,,,9,79,255,4,102,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-10-31,8,572,,,9,99,335,4,134,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-11-01,7,651,,,11,109,381,4,157,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-11-02,6,772,,,11,125,459,6,182,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-11-03,5,857,,,12,138,501,7,211,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-11-06,2,1027,,,19,160,593,11,263,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08009,Baca County,2022-11-07,1,1337,,,26,195,786,14,342,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-10-24,15,223,,,1,61,89,4,69,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-10-25,14,276,,,1,78,108,5,85,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-10-26,13,362,,,2,105,140,6,111,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-10-27,12,421,,,2,113,164,8,136,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-10-30,9,496,,,3,123,200,10,163,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-10-31,8,597,,,4,149,244,10,194,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-11-01,7,694,,,6,174,284,13,223,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-11-02,6,770,,,8,188,325,14,243,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-11-03,5,851,,,11,211,359,14,267,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-11-06,2,1054,,,12,264,458,14,318,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08011,Bent County,2022-11-07,1,1301,,,22,317,580,16,388,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-10-24,15,10006,,,70,5144,1299,84,3479,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-10-25,14,15548,,,103,7913,2112,129,5394,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-10-26,13,21121,,,142,10668,2882,177,7394,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-10-27,12,25984,,,191,13025,3492,216,9251,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-10-30,9,36540,,,243,18311,4819,316,13094,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-10-31,8,46948,,,325,23662,5866,378,17042,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-11-01,7,55572,,,409,27767,7046,436,20323,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-11-02,6,62352,,,511,30958,7959,491,22944,1,co-sos,2026-09-07T21:16:43+00:00
2022,CO,08013,Boulder County,2022-11-03,5,69409,,,599,34382,8809,561,25657,1,co-sos,2026-09-07T21:16:43+00:00
