cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2022,FL,12001,Alachua County,2022-10-06,33,46,,46,,23,16,1,6,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-07,32,53,,53,,27,19,1,6,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-10,29,324,,324,,184,95,5,40,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-21,18,9365,,9365,,5459,2440,136,1330,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-23,16,9689,,9689,,5674,2512,139,1364,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-24,15,9689,,9689,,5674,2512,139,1364,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-25,14,12768,,11205,1563,7206,3610,185,1767,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-27,12,19799,,14739,5060,11101,5715,268,2715,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-28,11,22622,,15832,6790,12617,6614,300,3091,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-10-31,8,29647,,18416,11231,16361,8773,391,4122,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-01,7,32327,,19461,12866,17833,9588,416,4490,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-02,6,35774,,21089,14685,19592,10702,469,5011,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-03,5,39126,,22279,16847,21300,11755,505,5566,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-04,4,42823,,23515,19308,23234,12889,552,6148,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-05,3,47661,,24724,22937,25687,14348,603,7023,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-06,2,52530,,25794,26736,28350,15624,678,7878,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-07,1,54486,,26697,27789,29670,15933,709,8174,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-14,-6,59123,,31334,27789,32656,16634,774,9059,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-16,-8,59167,,31378,27789,32678,16650,776,9063,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-17,-9,59178,,31389,27789,32685,16650,776,9067,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-18,-10,59186,,31397,27789,32689,16651,776,9070,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-19,-11,59188,,31399,27789,32690,16652,776,9070,1,fl-doe,2026-09-06T18:41:42+00:00
2022,FL,12001,Alachua County,2022-11-22,-14,59188,,31399,27789,32690,16652,776,9070,1,fl-doe,2026-09-06T18:41:42+00:00
