cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2026,IL,17001,Adams County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17001,Adams County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17001,Adams County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17001,Adams County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17001,Adams County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17003,Alexander County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17003,Alexander County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17003,Alexander County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17003,Alexander County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17003,Alexander County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17005,Bond County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17005,Bond County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17005,Bond County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17005,Bond County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17005,Bond County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17007,Boone County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17007,Boone County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17007,Boone County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17007,Boone County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17007,Boone County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17009,Brown County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17009,Brown County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17009,Brown County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17009,Brown County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17009,Brown County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17011,Bureau County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17011,Bureau County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17011,Bureau County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17011,Bureau County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17011,Bureau County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17013,Calhoun County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17013,Calhoun County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17013,Calhoun County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17013,Calhoun County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17013,Calhoun County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17015,Carroll County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17015,Carroll County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17015,Carroll County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17015,Carroll County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17015,Carroll County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17017,Cass County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17017,Cass County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
2026,IL,17017,Cass County,2026-09-08,56,0,,0,0,,,,,1,il-sbe,2026-09-08T03:03:27+00:00
2026,IL,17017,Cass County,2026-09-09,55,0,,0,0,,,,,1,il-sbe,2026-09-09T03:04:22+00:00
2026,IL,17017,Cass County,2026-09-10,54,0,,0,0,,,,,1,il-sbe,2026-09-10T03:04:52+00:00
2026,IL,17019,Champaign County,2026-09-06,58,0,,0,0,,,,,1,il-sbe,2026-09-06T23:28:30+00:00
2026,IL,17019,Champaign County,2026-09-07,57,0,,0,0,,,,,1,il-sbe,2026-09-07T00:37:54+00:00
