cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2022,KY,21001,Adair County,2022-11-04,4,1180,,216,964,284,847,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21003,Allen County,2022-11-04,4,1323,,210,1113,320,963,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21005,Anderson County,2022-11-04,4,3086,,212,2874,1295,1673,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21007,Ballard County,2022-11-04,4,582,,99,483,354,212,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21009,Barren County,2022-11-04,4,4728,,588,4140,2091,2483,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21011,Bath County,2022-11-04,4,1673,,510,1163,1242,389,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21013,Bell County,2022-11-04,4,1621,,420,1201,429,1147,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21015,Boone County,2022-11-04,4,7490,,2021,5469,2521,4116,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21017,Bourbon County,2022-11-04,4,1932,,386,1546,1110,755,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21019,Boyd County,2022-11-04,4,2678,,1001,1677,1327,1190,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21021,Boyle County,2022-11-04,4,2667,,499,2168,1447,1070,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21023,Bracken County,2022-11-04,4,911,,226,685,589,298,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21025,Breathitt County,2022-11-04,4,938,,351,587,819,103,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21027,Breckinridge County,2022-11-04,4,1258,,227,1031,470,735,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21029,Bullitt County,2022-11-04,4,6745,,1142,5603,2773,3560,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21031,Butler County,2022-11-04,4,618,,111,507,128,469,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21033,Caldwell County,2022-11-04,4,1800,,225,1575,902,846,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21035,Calloway County,2022-11-04,4,3729,,567,3162,2008,1464,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21037,Campbell County,2022-11-04,4,6883,,1341,5542,2937,3237,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21039,Carlisle County,2022-11-04,4,456,,71,385,256,192,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21041,Carroll County,2022-11-04,4,1048,,185,863,773,255,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21043,Carter County,2022-11-04,4,1520,,331,1189,690,779,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21045,Casey County,2022-11-04,4,1709,,183,1526,220,1453,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21047,Christian County,2022-11-04,4,4574,,520,4054,2482,1903,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21049,Clark County,2022-11-04,4,3519,,540,2979,1782,1549,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21051,Clay County,2022-11-04,4,666,,198,468,109,545,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21053,Clinton County,2022-11-04,4,1573,,378,1195,135,1420,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21055,Crittenden County,2022-11-04,4,642,,94,548,177,444,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21057,Cumberland County,2022-11-04,4,729,,95,634,96,620,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21059,Daviess County,2022-11-04,4,8948,,1512,7436,4608,3888,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21061,Edmonson County,2022-11-04,4,696,,136,560,143,536,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21063,Elliott County,2022-11-04,4,353,,175,178,282,65,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21065,Estill County,2022-11-04,4,1371,,325,1046,463,875,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21067,Fayette County,2022-11-04,4,16707,,7740,8967,10335,4907,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21069,Fleming County,2022-11-04,4,886,,238,648,428,433,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21071,Floyd County,2022-11-04,4,2232,,623,1609,1654,531,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21073,Franklin County,2022-11-04,4,5834,,1013,4821,4270,1321,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21075,Fulton County,2022-11-04,4,273,,53,220,175,92,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21077,Gallatin County,2022-11-04,4,648,,142,506,364,255,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21079,Garrard County,2022-11-04,4,1088,,226,862,255,781,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21081,Grant County,2022-11-04,4,1674,,260,1414,647,923,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21083,Graves County,2022-11-04,4,2428,,503,1925,1276,1052,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21085,Grayson County,2022-11-04,4,1208,,239,969,328,847,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21087,Green County,2022-11-04,4,976,,214,762,194,749,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21089,Greenup County,2022-11-04,4,1787,,637,1150,743,975,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21091,Hancock County,2022-11-04,4,434,,107,327,227,192,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21093,Hardin County,2022-11-04,4,8188,,1507,6681,3885,3728,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21095,Harlan County,2022-11-04,4,1269,,281,988,376,866,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21097,Harrison County,2022-11-04,4,1479,,326,1153,887,527,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21099,Hart County,2022-11-04,4,1368,,335,1033,695,615,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21101,Henderson County,2022-11-04,4,4771,,592,4179,3064,1519,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21103,Henry County,2022-11-04,4,1114,,212,902,576,501,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21105,Hickman County,2022-11-04,4,303,,59,244,130,161,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21107,Hopkins County,2022-11-04,4,3290,,505,2785,1814,1341,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21109,Jackson County,2022-11-04,4,1020,,228,792,83,909,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21111,Jefferson County,2022-11-04,4,53427,,12490,40937,33389,15903,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21113,Jessamine County,2022-11-04,4,3330,,940,2390,1354,1689,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21115,Johnson County,2022-11-04,4,1658,,344,1314,361,1257,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21117,Kenton County,2022-11-04,4,12078,,2574,9504,5064,5689,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21119,Knott County,2022-11-04,4,1165,,485,680,909,232,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21121,Knox County,2022-11-04,4,1715,,406,1309,362,1318,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21123,Larue County,2022-11-04,4,1366,,164,1202,635,679,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21125,Laurel County,2022-11-04,4,4295,,1045,3250,645,3526,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21127,Lawrence County,2022-11-04,4,833,,209,624,278,528,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21129,Lee County,2022-11-04,4,420,,135,285,111,302,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21131,Leslie County,2022-11-04,4,519,,140,379,27,487,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21133,Letcher County,2022-11-04,4,1443,,290,1153,779,626,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21135,Lewis County,2022-11-04,4,424,,122,302,62,351,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21137,Lincoln County,2022-11-04,4,1781,,357,1424,711,1000,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21139,Livingston County,2022-11-04,4,529,,117,412,206,309,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21141,Logan County,2022-11-04,4,2069,,245,1824,1045,944,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21143,Lyon County,2022-11-04,4,864,,95,769,381,432,,,1,ky-sbe,2026-09-06T15:38:00+00:00
2022,KY,21145,McCracken County,2022-11-04,4,3532,,1241,2291,1768,1560,,,1,ky-sbe,2026-09-06T15:38:00+00:00
