cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2022,MI,26001,Alcona County,2022-10-10,29,44,,44,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26001,Alcona County,2022-10-17,22,303,,303,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26001,Alcona County,2022-10-24,15,721,,721,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26001,Alcona County,2022-10-31,8,1134,,1134,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26003,Alger County,2022-10-10,29,236,,236,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26003,Alger County,2022-10-17,22,501,,501,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26003,Alger County,2022-10-24,15,738,,738,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26003,Alger County,2022-10-31,8,1074,,1074,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26005,Allegan County,2022-10-10,29,1609,,1609,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26005,Allegan County,2022-10-17,22,4552,,4552,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26005,Allegan County,2022-10-24,15,7846,,7846,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26005,Allegan County,2022-10-31,8,11607,,11607,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26007,Alpena County,2022-10-10,29,91,,91,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26007,Alpena County,2022-10-17,22,958,,958,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26007,Alpena County,2022-10-24,15,2320,,2320,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26007,Alpena County,2022-10-31,8,3530,,3530,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26009,Antrim County,2022-10-10,29,154,,154,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26009,Antrim County,2022-10-17,22,1096,,1096,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26009,Antrim County,2022-10-24,15,2551,,2551,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26009,Antrim County,2022-10-31,8,3921,,3921,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26011,Arenac County,2022-10-10,29,57,,57,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26011,Arenac County,2022-10-17,22,328,,328,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26011,Arenac County,2022-10-24,15,688,,688,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26011,Arenac County,2022-10-31,8,1150,,1150,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26013,Baraga County,2022-10-10,29,28,,28,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26013,Baraga County,2022-10-17,22,244,,244,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26013,Baraga County,2022-10-24,15,504,,504,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26013,Baraga County,2022-10-31,8,736,,736,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26015,Barry County,2022-10-10,29,1103,,1103,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26015,Barry County,2022-10-17,22,2370,,2370,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26015,Barry County,2022-10-24,15,4272,,4272,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26015,Barry County,2022-10-31,8,6463,,6463,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26017,Bay County,2022-10-10,29,1844,,1844,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26017,Bay County,2022-10-17,22,5722,,5722,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26017,Bay County,2022-10-24,15,9894,,9894,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26017,Bay County,2022-10-31,8,13567,,13567,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26019,Benzie County,2022-10-10,29,370,,370,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26019,Benzie County,2022-10-17,22,1121,,1121,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26019,Benzie County,2022-10-24,15,2210,,2210,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
2022,MI,26019,Benzie County,2022-10-31,8,3197,,3197,,,,,,1,mi-sos,2026-09-09T18:22:00+00:00
