cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2024,NV,32001,Churchill County,2024-11-15,-10,11320,,5031,6289,1606,7044,2670,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32003,Clark County,2024-11-15,-10,855182,,466559,388623,311491,276537,267154,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32005,Douglas County,2024-11-15,-10,31596,,23010,8586,6253,17969,7374,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32007,Elko County,2024-11-15,-10,18062,,8737,9325,2267,11295,4500,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32009,Esmeralda County,2024-11-15,-10,250,,186,64,25,160,65,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32011,Eureka County,2024-11-15,-10,776,,484,292,55,558,163,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32013,Humboldt County,2024-11-15,-10,6528,,3190,3338,902,4185,1441,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32015,Lander County,2024-11-15,-10,2228,,854,1374,240,1539,449,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32017,Lincoln County,2024-11-15,-10,1561,,933,628,181,1052,328,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32019,Lyon County,2024-11-15,-10,28588,,17996,10592,4902,15557,8129,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32021,Mineral County,2024-11-15,-10,1643,,943,700,418,809,416,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32023,Nye County,2024-11-15,-10,24080,,16234,7846,4498,12789,6793,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32027,Pershing County,2024-11-15,-10,1912,,1129,783,301,1169,442,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32029,Storey County,2024-11-15,-10,2272,,1189,1083,432,1247,593,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32031,Washoe County,2024-11-15,-10,225894,,135512,90382,76477,83834,65583,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32033,White Pine County,2024-11-15,-10,3297,,1913,1384,511,2044,742,,1,nv-sos,2026-09-08T18:10:59+00:00
2024,NV,32510,Carson City,2024-11-15,-10,27974,,16322,11652,7776,12115,8083,,1,nv-sos,2026-09-08T18:10:59+00:00
