cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2022,NY,36005,Bronx County,2022-10-29,10,5282,,,5282,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36005,Bronx County,2022-10-30,9,9149,,,9149,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36005,Bronx County,2022-10-31,8,12063,,,12063,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36005,Bronx County,2022-11-01,7,16089,,,16089,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36005,Bronx County,2022-11-02,6,19822,,,19822,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36005,Bronx County,2022-11-03,5,23111,,,23111,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36005,Bronx County,2022-11-04,4,26056,,,26056,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36005,Bronx County,2022-11-05,3,31631,,,31631,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36005,Bronx County,2022-11-06,2,39069,,,39069,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-10-29,10,12688,,,12688,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-10-30,9,26878,,,26878,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-10-31,8,35611,,,35611,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-11-01,7,49045,,,49045,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-11-02,6,61629,,,61629,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-11-03,5,72218,,,72218,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-11-04,4,84639,,,84639,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-11-05,3,104037,,,104037,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36047,Kings County,2022-11-06,2,135239,,,135239,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36061,New York County,2022-10-29,10,16314,,,16314,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
2022,NY,36061,New York County,2022-10-30,9,32020,,,32020,,,,,1,ny-nycboe,2026-09-08T18:07:16+00:00
