cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2024,WA,53001,Adams County,2024-10-18,18,25,25,19,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-19,17,25,0,19,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-20,16,25,0,19,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-21,15,193,168,187,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-22,14,444,251,438,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-23,13,591,147,585,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-24,12,975,384,969,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-25,11,1299,324,1293,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-26,10,1299,0,1293,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-27,9,1299,0,1293,6,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-28,8,2010,711,1939,71,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-29,7,2179,169,2108,71,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-30,6,2612,433,2541,71,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-10-31,5,2966,354,2783,183,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-11-01,4,3037,71,2854,183,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-11-02,3,3039,2,2856,183,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-11-03,2,3095,56,2912,183,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-11-04,1,3231,136,3048,183,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53001,Adams County,2024-11-05,0,3716,485,3533,183,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-04,32,8,8,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-05,31,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-06,30,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-07,29,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-08,28,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-09,27,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-10,26,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-11,25,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-12,24,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-13,23,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-14,22,8,0,8,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-15,21,19,11,19,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-16,20,19,0,19,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-17,19,19,0,19,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-18,18,19,0,19,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-19,17,19,0,19,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-20,16,19,0,19,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-21,15,331,312,331,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-22,14,1061,730,1061,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-23,13,2172,1111,2172,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-24,12,2768,596,2768,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-25,11,3841,1073,3841,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-26,10,3841,0,3841,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-27,9,3841,0,3841,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-28,8,5165,1324,5165,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-29,7,6031,866,6031,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-30,6,6388,357,6388,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-10-31,5,7456,1068,7456,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
2024,WA,53003,Asotin County,2024-11-01,4,8024,568,8024,0,,,,,1,wa-sos,2026-09-08T14:21:52+00:00
