cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2022,WI,55001,Adams County,2022-10-12,27,304,,304,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-13,26,324,,324,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-14,25,353,,353,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-17,22,421,,421,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-18,21,454,,454,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-19,20,484,,484,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-20,19,532,,532,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-21,18,549,,549,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-24,15,591,,591,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-25,14,652,,652,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-26,13,744,,672,72,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-27,12,886,,757,129,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-28,11,989,,787,202,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-10-31,8,1067,,825,242,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-11-01,7,1183,,887,296,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-11-02,6,1268,,933,335,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-11-03,5,1362,,979,383,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-11-04,4,1451,,1011,440,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-11-05,3,1562,,1042,520,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-11-06,2,1572,,1052,520,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-11-07,1,1591,,1067,524,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55001,Adams County,2022-11-08,0,1648,,1120,528,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-12,27,335,,335,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-13,26,352,,352,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-14,25,384,,384,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-17,22,414,,414,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-18,21,450,,450,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-19,20,459,,459,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-20,19,488,,488,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-21,18,551,,551,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-24,15,574,,574,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-25,14,631,,631,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-26,13,699,,652,47,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-27,12,722,,671,51,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-28,11,820,,710,110,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-10-31,8,896,,759,137,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-11-01,7,967,,807,160,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-11-02,6,1019,,826,193,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-11-03,5,1076,,852,224,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-11-04,4,1126,,869,257,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-11-05,3,1197,,892,305,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-11-06,2,1228,,923,305,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-11-07,1,1256,,951,305,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55003,Ashland County,2022-11-08,0,1308,,999,309,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-12,27,569,,569,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-13,26,611,,611,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-14,25,646,,646,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-17,22,718,,718,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-18,21,827,,827,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-19,20,862,,862,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-20,19,925,,925,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-21,18,996,,996,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-24,15,1085,,1085,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-25,14,1198,,1198,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-26,13,1497,,1287,210,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-27,12,1741,,1405,336,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-28,11,1941,,1477,464,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-10-31,8,2207,,1599,608,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-11-01,7,2507,,1758,749,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-11-02,6,2708,,1813,895,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-11-03,5,2951,,1853,1098,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-11-04,4,3251,,1956,1295,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-11-05,3,3594,,2041,1553,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-11-06,2,3649,,2072,1577,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-11-07,1,3663,,2086,1577,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55005,Barron County,2022-11-08,0,3808,,2221,1587,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-12,27,379,,379,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-13,26,446,,446,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-14,25,474,,474,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-17,22,534,,534,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-18,21,627,,627,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-19,20,687,,687,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-20,19,735,,735,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-21,18,767,,767,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-24,15,818,,818,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-25,14,914,,914,0,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-26,13,1019,,965,54,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
2022,WI,55007,Bayfield County,2022-10-27,12,1093,,1005,88,,,,,1,wi-wec,2026-09-08T06:39:56+00:00
