cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2022,SC,2022-10-07,32,race,asian,10,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-07,32,race,black,33,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-07,32,race,hispanic,7,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-07,32,race,native,0,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-07,32,race,other,8,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-07,32,race,unknown,12,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-07,32,race,white,410,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-10,29,race,asian,12,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-10,29,race,black,40,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-10,29,race,hispanic,9,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-10,29,race,native,0,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-10,29,race,other,9,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-10,29,race,unknown,13,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-10,29,race,white,457,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-14,25,race,asian,12,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-14,25,race,black,62,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-14,25,race,hispanic,10,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-14,25,race,native,0,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-14,25,race,other,9,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-14,25,race,unknown,13,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-14,25,race,white,590,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-17,22,race,asian,40,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-17,22,race,black,761,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-17,22,race,hispanic,22,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-17,22,race,native,1,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-17,22,race,other,22,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-17,22,race,unknown,20,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-17,22,race,white,3795,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-18,21,race,asian,61,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-18,21,race,black,1528,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-18,21,race,hispanic,38,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-18,21,race,native,14,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-18,21,race,other,35,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-18,21,race,unknown,22,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-18,21,race,white,6804,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-19,20,race,asian,83,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-19,20,race,black,2107,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-19,20,race,hispanic,51,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-19,20,race,native,20,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-19,20,race,other,45,1,sc-sec,2026-09-06T15:38:14+00:00
