cycle,state,date,days_to_election,ballots_total,ballots_new,mail_requested,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,restated,source_tier,source_name,retrieved_at
2022,NC,2022-09-09,60,17,17,,17,0,9,1,0,7,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-10,59,62,45,,62,0,40,3,0,19,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-11,58,73,11,,73,0,47,5,0,21,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-12,57,194,121,,194,0,123,15,1,55,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-13,56,305,111,,305,0,184,33,1,87,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-14,55,589,284,,589,0,341,70,3,175,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-15,54,983,394,,983,0,572,124,4,283,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-16,53,1620,637,,1620,0,935,213,5,467,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-17,52,1644,24,,1644,0,950,216,5,473,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-18,51,1648,4,,1648,0,953,216,5,474,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-19,50,3099,1451,,3099,0,1696,434,9,960,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-20,49,3497,398,,3497,0,1915,491,10,1081,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-21,48,4721,1224,,4721,0,2571,685,16,1449,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-22,47,5799,1078,,5799,0,3140,844,20,1795,0,1,nc-sbe,2026-09-06T02:13:08+00:00
2022,NC,2022-09-23,46,6896,1097,,6896,0,3743,1020,21,2112,0,1,nc-sbe,2026-09-06T02:13:08+00:00
