cycle,state,county_fips,county_name,date,days_to_election,method,ballots_total,ballots_new,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2022,KY,21001,Adair County,2022-11-04,4,inperson,964,,219,709,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21001,Adair County,2022-11-04,4,mail,216,,65,138,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21003,Allen County,2022-11-04,4,inperson,1113,,248,831,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21003,Allen County,2022-11-04,4,mail,210,,72,132,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21005,Anderson County,2022-11-04,4,inperson,2874,,1171,1599,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21005,Anderson County,2022-11-04,4,mail,212,,124,74,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21007,Ballard County,2022-11-04,4,inperson,483,,286,183,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21007,Ballard County,2022-11-04,4,mail,99,,68,29,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21009,Barren County,2022-11-04,4,inperson,4140,,1740,2278,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21009,Barren County,2022-11-04,4,mail,588,,351,205,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21011,Bath County,2022-11-04,4,inperson,1163,,808,316,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21011,Bath County,2022-11-04,4,mail,510,,434,73,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21013,Bell County,2022-11-04,4,inperson,1201,,285,883,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21013,Bell County,2022-11-04,4,mail,420,,144,264,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21015,Boone County,2022-11-04,4,inperson,5469,,1790,3074,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21015,Boone County,2022-11-04,4,mail,2021,,731,1042,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21017,Bourbon County,2022-11-04,4,inperson,1546,,846,641,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21017,Bourbon County,2022-11-04,4,mail,386,,264,114,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21019,Boyd County,2022-11-04,4,inperson,1677,,772,812,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21019,Boyd County,2022-11-04,4,mail,1001,,555,378,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21021,Boyle County,2022-11-04,4,inperson,2168,,1134,913,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21021,Boyle County,2022-11-04,4,mail,499,,313,157,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21023,Bracken County,2022-11-04,4,inperson,685,,427,238,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21023,Bracken County,2022-11-04,4,mail,226,,162,60,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21025,Breathitt County,2022-11-04,4,inperson,587,,494,80,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21025,Breathitt County,2022-11-04,4,mail,351,,325,23,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21027,Breckinridge County,2022-11-04,4,inperson,1031,,360,630,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21027,Breckinridge County,2022-11-04,4,mail,227,,110,105,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21029,Bullitt County,2022-11-04,4,inperson,5603,,2166,3105,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21029,Bullitt County,2022-11-04,4,mail,1142,,607,455,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21031,Butler County,2022-11-04,4,inperson,507,,103,389,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21031,Butler County,2022-11-04,4,mail,111,,25,80,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21033,Caldwell County,2022-11-04,4,inperson,1575,,759,770,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21033,Caldwell County,2022-11-04,4,mail,225,,143,76,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21035,Calloway County,2022-11-04,4,inperson,3162,,1684,1263,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21035,Calloway County,2022-11-04,4,mail,567,,324,201,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21037,Campbell County,2022-11-04,4,inperson,5542,,2289,2679,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21037,Campbell County,2022-11-04,4,mail,1341,,648,558,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21039,Carlisle County,2022-11-04,4,inperson,385,,206,172,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21039,Carlisle County,2022-11-04,4,mail,71,,50,20,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21041,Carroll County,2022-11-04,4,inperson,863,,624,222,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21041,Carroll County,2022-11-04,4,mail,185,,149,33,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21043,Carter County,2022-11-04,4,inperson,1189,,502,643,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21043,Carter County,2022-11-04,4,mail,331,,188,136,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21045,Casey County,2022-11-04,4,inperson,1526,,179,1322,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21045,Casey County,2022-11-04,4,mail,183,,41,131,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21047,Christian County,2022-11-04,4,inperson,4054,,2175,1719,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21047,Christian County,2022-11-04,4,mail,520,,307,184,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21049,Clark County,2022-11-04,4,inperson,2979,,1427,1393,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21049,Clark County,2022-11-04,4,mail,540,,355,156,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21051,Clay County,2022-11-04,4,inperson,468,,71,390,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21051,Clay County,2022-11-04,4,mail,198,,38,155,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21053,Clinton County,2022-11-04,4,inperson,1195,,97,1087,,,1,ky-sbe,2026-09-08T00:21:20+00:00
2022,KY,21053,Clinton County,2022-11-04,4,mail,378,,38,333,,,1,ky-sbe,2026-09-08T00:21:20+00:00
