spec,target,cycles,n,term,coef,std_error,t_stat,r2,adj_r2,rmse_in_sample,mae_in_sample,mae_loo,mae_null_prior,mae_null_uniform,gain_vs_null_prior,gain_vs_null_uniform,beats_null,method,source_name,retrieved_at
mail,margin_swing_vs_prior_comparable,2022|2024,22,intercept,-7.779,1.9832,-3.9225,0.1814,0.1405,5.4802,3.8009,4.2729,6.2054,4.2278,1.9325,-0.0451,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
mail,margin_swing_vs_prior_comparable,2022|2024,22,mail_share,0.105,0.0499,2.1053,0.1814,0.1405,5.4802,3.8009,4.2729,6.2054,4.2278,1.9325,-0.0451,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
mail_swing,margin_swing_vs_prior_comparable,2024,8,intercept,-5.4304,2.7611,-1.9668,0.0067,-0.1588,3.5197,2.8238,3.8424,5.3477,3.3542,1.5054,-0.4882,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
mail_swing,margin_swing_vs_prior_comparable,2024,8,mail_share_swing,-0.0419,0.2077,-0.2017,0.0067,-0.1588,3.5197,2.8238,3.8424,5.3477,3.3542,1.5054,-0.4882,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
pace,margin_swing_vs_prior_comparable,2024,13,intercept,1.7582,4.8209,0.3647,0.2657,0.1989,5.5879,4.9058,5.8471,7.4945,5.1922,1.6474,-0.6549,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
pace,margin_swing_vs_prior_comparable,2024,13,pace_vs_prior,-0.0829,0.0415,-1.9949,0.2657,0.1989,5.5879,4.9058,5.8471,7.4945,5.1922,1.6474,-0.6549,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
party,margin_swing_vs_prior_comparable,2022|2024,17,ev_party_margin,0.0542,0.1096,0.4946,0.016,-0.0496,6.545,4.786,5.5039,6.4893,5.1602,0.9853,-0.3437,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
party,margin_swing_vs_prior_comparable,2022|2024,17,intercept,-5.7044,1.9221,-2.9678,0.016,-0.0496,6.545,4.786,5.5039,6.4893,5.1602,0.9853,-0.3437,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
party_and_share,margin_swing_vs_prior_comparable,2022|2024,10,early_share_of_total,0.0222,0.1228,0.1806,0.1156,-0.1371,4.8671,3.8757,5.6406,5.6049,4.7456,-0.0356,-0.895,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
party_and_share,margin_swing_vs_prior_comparable,2022|2024,10,ev_party_margin,0.1348,0.1694,0.7961,0.1156,-0.1371,4.8671,3.8757,5.6406,5.6049,4.7456,-0.0356,-0.895,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
party_and_share,margin_swing_vs_prior_comparable,2022|2024,10,intercept,-6.8058,7.5256,-0.9044,0.1156,-0.1371,4.8671,3.8757,5.6406,5.6049,4.7456,-0.0356,-0.895,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
party_swing,margin_swing_vs_prior_comparable,2024,5,ev_party_margin_swing,-1.7901,0.984,-1.8192,0.5245,0.366,5.945,4.8082,8.7672,6.5976,8.3894,-2.1696,-0.3778,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
party_swing,margin_swing_vs_prior_comparable,2024,5,intercept,-24.571,10.7859,-2.2781,0.5245,0.366,5.945,4.8082,8.7672,6.5976,8.3894,-2.1696,-0.3778,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
share,margin_swing_vs_prior_comparable,2022|2024,21,early_share_of_total,-0.0827,0.0803,-1.0302,0.0529,0.0031,5.7425,4.0514,4.5571,6.0148,4.289,1.4578,-0.268,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
share,margin_swing_vs_prior_comparable,2022|2024,21,intercept,0.1612,4.4563,0.0362,0.0529,0.0031,5.7425,4.0514,4.5571,6.0148,4.289,1.4578,-0.268,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
uniform,margin_swing_vs_prior_comparable,2022|2024,37,intercept,-4.9724,1.0545,-4.7155,0,0,6.3268,4.2992,4.4186,6.3602,4.4186,1.9415,0,false,ols-swing-vs-prior-comparable,electindex-regress/ols,2026-09-06T15:38:49+00:00
