cycle,state,town_geoid,town_name,county_fips,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2024,CT,0900104720,Bethel town,09001,2024-11-05,0,6143,,627,5516,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900108070,Bridgeport town,09001,2024-11-05,0,12894,,2302,10592,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900108980,Brookfield town,09001,2024-11-05,0,6393,,841,5552,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900118500,Danbury town,09001,2024-11-05,0,10824,,1898,8926,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900118850,Darien town,09001,2024-11-05,0,8101,,1203,6898,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900123890,Easton town,09001,2024-11-05,0,2846,,415,2431,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900126620,Fairfield town,09001,2024-11-05,0,19041,,2893,16148,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900133620,Greenwich town,09001,2024-11-05,0,16268,,4030,12238,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900148620,Monroe town,09001,2024-11-05,0,5748,,574,5174,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900150580,New Canaan town,09001,2024-11-05,0,6849,,1336,5513,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900150860,New Fairfield town,09001,2024-11-05,0,4785,,746,4039,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900152980,Newtown town,09001,2024-11-05,0,10145,,1395,8750,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900156060,Norwalk town,09001,2024-11-05,0,20251,,2781,17470,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900163480,Redding town,09001,2024-11-05,0,3730,,610,3120,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900163970,Ridgefield town,09001,2024-11-05,0,8428,,1730,6698,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900168170,Shelton town,09001,2024-11-05,0,9674,,1803,7871,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900168310,Sherman town,09001,2024-11-05,0,1338,,167,1171,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900173070,Stamford town,09001,2024-11-05,0,21273,,4931,16342,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900174190,Stratford town,09001,2024-11-05,0,13181,,1458,11723,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900177200,Trumbull town,09001,2024-11-05,0,12160,,1586,10574,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900183430,Weston town,09001,2024-11-05,0,3711,,611,3100,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900183500,Westport town,09001,2024-11-05,0,9768,,1708,8060,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900186370,Wilton town,09001,2024-11-05,0,7073,,1114,5959,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900302060,Avon town,09003,2024-11-05,0,6512,,987,5525,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900304300,Berlin town,09003,2024-11-05,0,5516,,870,4646,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900305910,Bloomfield town,09003,2024-11-05,0,7518,,1121,6397,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900308490,Bristol town,09003,2024-11-05,0,10365,,1637,8728,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900310100,Burlington town,09003,2024-11-05,0,4119,,323,3796,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900312270,Canton town,09003,2024-11-05,0,4082,,511,3571,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900322070,East Granby town,09003,2024-11-05,0,1707,,140,1567,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900322630,East Hartford town,09003,2024-11-05,0,6002,,893,5109,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900324800,East Windsor town,09003,2024-11-05,0,3307,,387,2920,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900325990,Enfield town,09003,2024-11-05,0,9220,,1598,7622,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900327600,Farmington town,09003,2024-11-05,0,8772,,1387,7385,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900331240,Glastonbury town,09003,2024-11-05,0,11762,,1551,10211,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900332640,Granby town,09003,2024-11-05,0,4150,,506,3644,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900337070,Hartford town,09003,2024-11-05,0,9320,,2020,7300,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900337140,Hartland town,09003,2024-11-05,0,612,,60,552,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900344700,Manchester town,09003,2024-11-05,0,12083,,1260,10823,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900345820,Marlborough town,09003,2024-11-05,0,2126,,272,1854,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900350440,New Britain town,09003,2024-11-05,0,7004,,1105,5899,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900352140,Newington town,09003,2024-11-05,0,7223,,1043,6180,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900360120,Plainville town,09003,2024-11-05,0,3134,,419,2715,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900365370,Rocky Hill town,09003,2024-11-05,0,4980,,820,4160,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900368940,Simsbury town,09003,2024-11-05,0,9558,,1312,8246,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900370550,Southington town,09003,2024-11-05,0,10556,,1640,8916,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900371390,South Windsor town,09003,2024-11-05,0,7308,,1195,6113,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900374540,Suffield town,09003,2024-11-05,0,4575,,598,3977,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900382590,West Hartford town,09003,2024-11-05,0,19721,,2920,16801,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900384900,Wethersfield town,09003,2024-11-05,0,7953,,894,7059,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900387000,Windsor town,09003,2024-11-05,0,8613,,994,7619,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900387070,Windsor Locks town,09003,2024-11-05,0,3084,,420,2664,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900502760,Barkhamsted town,09005,2024-11-05,0,1247,,137,1110,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900504930,Bethlehem town,09005,2024-11-05,0,1281,,101,1180,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900508210,Bridgewater town,09005,2024-11-05,0,667,,87,580,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900510940,Canaan town,09005,2024-11-05,0,347,,44,303,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900516050,Colebrook town,09005,2024-11-05,0,396,,33,363,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900517240,Cornwall town,09005,2024-11-05,0,630,,99,531,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900532290,Goshen town,09005,2024-11-05,0,1148,,148,1000,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900537280,Harwinton town,09005,2024-11-05,0,1949,,210,1739,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900540290,Kent town,09005,2024-11-05,0,1136,,196,940,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900543370,Litchfield town,09005,2024-11-05,0,2535,,321,2214,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900549460,Morris town,09005,2024-11-05,0,657,,73,584,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900551350,New Hartford town,09005,2024-11-05,0,2257,,242,2015,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900552630,New Milford town,09005,2024-11-05,0,7737,,781,6956,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900553470,Norfolk town,09005,2024-11-05,0,475,,57,418,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900554030,North Canaan town,09005,2024-11-05,0,725,,130,595,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900560750,Plymouth town,09005,2024-11-05,0,3257,,277,2980,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900565930,Roxbury town,09005,2024-11-05,0,897,,141,756,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900566420,Salisbury town,09005,2024-11-05,0,1807,,236,1571,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900567960,Sharon town,09005,2024-11-05,0,1066,,131,935,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900575730,Thomaston town,09005,2024-11-05,0,2308,,205,2103,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900576570,Torrington town,09005,2024-11-05,0,6777,,1074,5703,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900579510,Warren town,09005,2024-11-05,0,470,,58,412,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900579720,Washington town,09005,2024-11-05,0,1227,,223,1004,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900580490,Watertown town,09005,2024-11-05,0,5370,,681,4689,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900586440,Winchester town,09005,2024-11-05,0,2424,,314,2110,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900587910,Woodbury town,09005,2024-11-05,0,4096,,400,3696,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900714300,Chester town,09007,2024-11-05,0,1580,,211,1369,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
2024,CT,0900715350,Clinton town,09007,2024-11-05,0,5567,,523,5044,,,,,1,ct-sots,2026-09-09T18:45:05+00:00
